0,1,2,3,4
-0.43406199999999984,0.6288200000000002,1.8098,3.122,4.58
0.6288200000000002,1.8098,3.122,4.58,6.2
1.8098,3.122,4.58,6.2,8.0
3.122,4.58,6.2,8.0,10.0
4.58,6.2,8.0,10.0,0.0
